Number of Records,Asian Hospice Beneficiaries,Average Age,Black Hospice Beneficiaries,City,Female Hospice Beneficiaries,Hispanic Hospice Beneficiaries,Home Health Visit Hours Per Day,Home Health Visit Hours Per Day During Week Prior To Death,Hospice Beneficiaries,Hospice Beneficiaries With A Primary Diagnosis Of Cancer,Hospice Beneficiaries With A Primary Diagnosis Of Circulatory Heart Disease,Hospice Beneficiaries With A Primary Diagnosis Of Dementia,Hospice Beneficiaries With A Primary Diagnosis Of Respiratory Disease,Hospice Beneficiaries With A Primary Diagnosis Of Stroke,Hospice Beneficiaries With More Than One Hundred Eighty Hospice Care Days,Hospice Beneficiaries With More Than Sixty Hospice Care Days,Hospice Beneficiaries With Other Primary Diagnoses,Hospice Beneficiaries With Seven Or Fewer Hospice Care Days,Hrr,Male Hospice Beneficiaries,Medicaid Eligible Hospice Beneficiaries,Medicare Advantage Hospice Beneficiaries,Name,Other Unknown Race Hospice Beneficiaries,Percent Routine Home Care Days,Physician Services,Provider Id,Site Of Service Assisted Living Facility Hospice Beneficiaries,Site Of Service Home Hospice Beneficiaries,Site Of Service Inpatient Hospice Hospice Beneficiaries,Site Of Service Inpatient Hospital Hospice Beneficiaries,Site Of Service Long Term Care Or Non Skilled Nursing Facility Hospice Beneficiaries,Site Of Service Other Facility Hospice Beneficiaries,Site Of Service Skilled Nursing Facility Hospice Beneficiaries,Skilled Nursing Visit Hours Per Day,Skilled Nursing Visit Hours Per Day During Week Prior To Death,Social Service Visit Hours Per Day,Social Service Visit Hours Per Day During Week Prior To Death,State,Street Address,Total Charge Amount,Total Days,Total Live Discharges,Total Medicare Payment Amount,Total Medicare Standard Payment Amount,White Hospice Beneficiaries,Zip Code
1,0,83.3,,MESA,16,,0.169,0.059,33,,13,,,,,22,,,AZ - Mesa,17,,17,"ALLEGIANT HOSPICE, LLC",0,100,0,31620,,31,,,,,,0.271,0.263,0.012,,AZ,"1234 S POWER RD, SUITE 150",754879,3520,,566670,543505,30,85206
1,,80.2,,MESA,64,,0.19,0.093,100,,66,11,,,23,53,,,AZ - Mesa,36,52,45,"EL SOL HOSPICE AND PALLIATIVE CARE, LLC",,100,,31612,51,42,,,,,,0.118,0.316,0.019,0.037,AZ,6336 EAST BROWN ROAD,2160049,10561,52,1688113,1622095,87,85201
1,,87.2,0,CHANDLER,42,0,0.237,0.191,78,,27,17,,,20,45,14,,AZ - Mesa,36,,30,BROOKDALE HOSPICE CHANDLER,,100,0,31618,67,,0,0,0,0,,0.209,0.285,0.033,0.049,AZ,"2545 WEST FRYE ROAD, SUITE 10B",1950279,8867,21,1425493,1365509,77,85224
1,0,83.6,,CHANDLER,60,,0.274,0.168,98,15,20,14,14,13,17,43,22,,AZ - Mesa,38,20,57,AEGIS HOSPICE,,99,0,31613,24,70,0,0,,0,,0.255,0.251,0.04,0.078,AZ,"2350 EAST GERMANN ROAD, SUITE 31",2137059,8889,23,1445814,1385397,85,85286
1,,80.8,,GLOBE,46,22,0.147,0.126,96,24,21,19,12,0,25,52,20,15,AZ - Mesa,50,21,20,COPPER COMMUNITIES HOSPICE,,99,0,31591,0,94,0,0,0,,,0.178,0.288,0.015,0.01,AZ,136 SOUTH BROAD STREET,2551492,10756,19,1620582,1661763,67,85501
1,0,84.2,,MESA,128,12,0.315,0.158,197,35,36,75,18,,41,93,23,21,AZ - Mesa,69,28,67,SUN VALLEY EAST HOSPICE,,98,,31574,49,133,0,0,,,12,0.253,0.28,0.056,0.073,AZ,"7227 EAST BASELINE ROAD, SUITE 129",4829889,19458,36,3209617,3088325,177,85209
1,,80.2,,CHANDLER,107,12,0.186,0.112,191,22,86,27,30,,52,114,20,,AZ - Mesa,84,71,104,"GEMINI HOSPICE, LLC",,99,0,31615,11,175,,0,,0,,0.147,0.371,0.031,0.06,AZ,"3960 EAST RIGGS ROAD, SUITE 4",5389222,23369,87,3769073,3623805,165,85249
1,,84,,NAPA,303,31,0.156,0.087,554,181,96,142,30,25,34,138,80,134,CA - Napa,251,97,126,NAPA VALLEY HOSPICE & ADULT DAY SERVICES,,100,0,51537,0,554,0,0,0,0,0,0.285,0.211,0.069,0.121,CA,414 SOUTH JEFFERSON STREET,8043186,26762,54,5845935,4112828,497,94559
1,,80.7,,LAKEPORT,153,,0.21,0.099,261,92,61,59,26,,16,70,15,58,CA - Napa,108,74,24,HOSPICE SERVICES OF LAKE COUNTY,11,100,0,51561,0,261,0,0,0,0,0,0.277,0.254,0.075,0.093,CA,1717 SOUTH MAIN STREET,3616750,13344,29,2448218,2050353,235,95453
1,,80.5,,WILLITS,82,,0.121,0.071,174,75,19,28,14,15,,34,23,57,CA - Napa,92,39,,PHOENIX HOSPICE,,100,0,51649,,156,0,,0,0,,0.182,0.156,0.083,0.102,CA,100 SAN HEDRIN CIRCLE,2579956,6601,19,1211274,1014496,154,95490
1,0,79.8,44,ROME,296,,0.238,0.114,504,189,83,105,41,25,42,143,61,119,GA - Rome,208,79,108,FLOYD HEYMAN HOSPICE CARE,,99,160,111524,29,397,0,22,0,0,56,0.307,0.321,0.063,0.118,GA,"420 EAST SECOND AVENUE, SUITE 105",8527224,28645,38,4079923,4482622,456,30161
1,,77.5,,CALHOUN,97,,0.28,0.127,170,27,32,39,25,23,45,87,24,21,GA - Rome,73,91,29,PRUITTHEALTH HOSPICE-CALHOUN,,100,0,111548,0,72,0,0,73,0,25,0.174,0.327,0.017,0.021,GA,308 NORTH WALL STREET,3765103,19541,20,2759153,3005927,162,30701
1,,80.7,,CALHOUN,91,0,0.273,0.115,146,38,36,38,16,,34,77,12,19,GA - Rome,55,15,29,"TAPESTRY HOSPICE OF NORTHWEST GEORGIA, LLC",0,99,0,111726,22,98,0,20,0,,,0.181,0.209,0.021,0.039,GA,1091 REDBUD ROAD,3010777,15989,19,2272985,2501704,144,30701
1,0,79.7,0,ROME,,0,0.279,0.162,20,,,,,0,,,,,GA - Rome,,,,MT BERRY HOSPICE,0,100,0,111714,0,19,0,0,0,,,0.175,0.176,0.008,,GA,4300 MARTHA BERRY HWY NE,400184,2170,,295086,334426,20,30165
1,0,81,,ADAIRSVILLE,49,0,0.404,0.154,68,14,,23,,,,25,,22,GA - Rome,19,28,12,AFFINIS CARTERSVILLE,,100,0,111672,0,25,0,0,30,0,13,0.291,0.403,0.069,0.108,GA,"15 BOWENS COURT, SUITE B",1102879,4664,,656655,717753,61,30103
1,0,80.1,,ROME,44,,0.218,0.126,64,,16,17,11,,20,36,,,GA - Rome,20,14,,PRUITTHEALTH HOSPICE-ROME,0,99,0,111645,0,46,0,,13,0,,0.129,0.305,0.022,0.04,GA,35 THREE RIVERS DR,1638713,8873,,1269508,1390613,60,30161
1,,79.3,,ROME,55,0,0.124,0.044,82,20,20,15,,,16,37,,17,GA - Rome,27,31,18,"TRANSITIONS HOSPICE CARE OF GEORGIA, INC",0,100,0,111641,0,66,0,,,0,0,0.115,0.149,0.017,0.034,GA,"610 SHORTER AVENUE, SUITE 9",1521911,8017,24,1157411,1242251,73,30165
1,,81.8,11,VALPARAISO,404,23,0.392,0.509,667,241,112,80,83,42,38,107,109,286,IN - Gary,263,120,115,VNA HOSPICE HOME CARE,,93,747,151505,19,290,244,0,0,0,112,0.478,0.673,0.068,0.071,IN,2401 VALLEY DR,9111880,24091,25,4453908,4626763,626,46383
1,0,79.9,,MICHIGAN CITY,81,0,0.099,0.065,157,85,26,,15,,15,42,,47,IN - Gary,76,20,21,INDIANA UNIVERSITY HEALTH LAPORTE VNA SERVICES,,98,0,151506,,131,15,0,,0,0,0.345,0.311,0.032,0.036,IN,901 S WOODLAND AVE,1766382,9016,,1396587,1456731,152,46360
1,,79.2,18,MICHIGAN CITY,134,,1.324,0.582,250,78,33,39,39,21,,29,40,125,IN - Gary,116,44,30,HOSPICE FRANCISCAN COMMUNITIES,,81,0,151515,20,81,140,,,,0,1.449,0.703,0.047,0.063,IN,1225 E COOLSPRING AVE STE 1E,2114993,6488,19,1489497,1530111,227,46360
1,,82.9,11,CROWN POINT,195,13,1.264,0.544,329,109,71,54,27,39,,43,29,135,IN - Gary,134,75,41,HOSPICE FRANCISCAN COMMUNITIES,,85,0,151532,,103,153,0,68,,0,1.336,0.681,0.042,0.061,IN,203 FRANCISCAN DR,2991568,9366,13,2084354,2163748,301,46307
1,,84.1,125,CROWN POINT,774,30,0.262,0.128,1158,166,227,498,110,63,245,468,94,260,IN - Gary,384,509,187,HARBOR LIGHT HOSPICE,,100,25,151544,244,244,0,51,221,0,398,0.24,0.291,0.029,0.062,IN,1841 E SUMMIT ST,23307819,106942,80,16076454,16591544,992,46307
1,,81.4,31,PORTAGE,133,23,0.419,0.213,228,85,38,19,31,,23,63,49,72,IN - Gary,95,39,43,VITAS HEALTHCARE CORPORATION MIDWEST,,98,62,151609,19,145,,40,23,,0,0.411,0.42,0.04,0.053,IN,"1605 ADLER CIRCLE, SUITE E",4517409,13385,19,2131583,2209630,172,46368
1,,82.1,63,MERRILLVILLE,102,12,0.623,0.376,180,40,22,44,,45,31,57,,46,IN - Gary,78,66,25,UNITY HOSPICE OF NORTHWEST INDIANA LLC,,100,0,151583,20,77,0,14,69,0,0,0.196,0.36,0.026,0.05,IN,8407 VIRGINIA ST,5321053,13406,13,2010928,2088092,104,46410
1,0,83.3,16,VALPARAISO,221,,0.317,0.143,305,39,68,128,24,,63,123,38,60,IN - Gary,84,182,26,ASERACARE HOSPICE,,100,0,151595,37,70,0,,194,0,,0.318,0.247,0.048,0.064,IN,"808 VALE PARK ROAD, SUITE 200",6219836,28046,17,4175458,4318877,278,46383
1,,80.5,,RENO,343,25,0.197,0.127,597,244,108,56,58,42,62,188,89,134,NV - Reno,254,57,144,HOSPICE OF NORTHERN NEVADA,,100,0,291501,82,477,0,,28,,,0.244,0.294,0.048,0.068,NV,429 ELM STREET,10007486,38305,54,6061506,5882726,551,89503
1,19,82.9,,SPARKS,564,35,0.314,0.182,958,262,178,201,88,102,158,369,127,165,NV - Reno,394,125,211,GENTIVA HOSPICE,,100,100,291507,256,579,0,0,118,,,0.275,0.288,0.045,0.08,NV,"1625 E PRATER WAY, BLDG C #108",17925619,79398,106,12629987,12244944,886,89434
1,,81.3,,RENO,215,12,0.257,0.134,373,110,102,55,57,19,45,142,30,59,NV - Reno,158,41,94,"INFINITY HOSPICE CARE OF RENO, LLC",,100,154,291530,0,358,0,,0,,14,0.183,0.275,0.042,0.057,NV,5538 LONGLEY LN STE B,5605633,28131,47,4491969,4360703,346,89511
1,,85.5,0,RENO,47,,0.291,0.161,67,,22,18,11,,15,35,,,NV - Reno,20,14,19,"SUMMIT VIEW HOSPICE, LLC",0,100,0,291535,41,26,0,0,0,0,0,0.257,0.43,0.062,0.064,NV,"800 S MEADOWS PKWY, STE 200",1609158,6446,,1027611,992190,60,89521
1,0,80,0,TRUCKEE,39,,0.134,0.093,61,33,,,,,,16,,14,NV - Reno,22,,,TAHOE FOREST HOSPICE,,100,,51732,0,55,0,0,0,,,0.175,0.186,0.041,0.067,CA,10985 SPRING LANE,1064459,3069,,567888,470570,56,96162
1,0,79.3,,FALLON,53,,0.223,0.083,101,41,18,15,13,0,12,30,14,22,NV - Reno,48,13,16,XL HOSPICE,,100,0,291515,14,84,0,,,0,0,0.135,0.189,0.038,0.069,NV,570 SOUTH MAINE STREET,1430996,6686,19,1019482,1025910,93,89406
1,,83.4,,RENO,174,13,0.34,0.179,258,71,30,85,17,11,55,108,44,39,NV - Reno,84,49,71,CIRCLE OF LIFE HOSPICE,,100,0,291509,74,153,0,0,,,21,0.232,0.306,0.051,0.089,NV,"1575 DELUCCHI LANE, SUITE 118",6128721,24283,30,3866031,3733524,228,89502
1,,81.7,0,PRINEVILLE,99,,0.156,0.106,193,46,63,18,34,21,28,88,11,20,OR - Bend,94,55,68,ST CHARLES HOSPICE,,99,120,381509,0,189,0,,0,,0,0.248,0.247,0.073,0.125,OR,236 NORTH MAIN STREET,5032327,16736,30,2577143,2578433,180,97754
1,,81.9,,BEND,466,17,0.197,0.268,877,253,139,134,70,61,94,322,220,190,OR - Bend,411,217,309,PARTNERS IN CARE,,98,1010,381515,188,518,125,0,37,,,0.332,0.353,0.068,0.11,OR,2075 NE WYATT COURT,22488518,60849,79,10952485,10045143,847,97701
1,0,79.1,0,BURNS,14,,0.11,0.122,28,12,,,,,,,,,OR - Bend,14,,,HARNEY COUNTY HOSPICE,,100,0,381525,,19,0,0,0,,0,0.238,0.257,0.054,0.07,OR,415 NORTH FAIRVIEW AVE,325699,1383,,207362,212684,27,97720
1,0,78.3,0,MADRAS,21,,0.2,0.088,41,,,,,,,21,,,OR - Bend,20,18,18,ST CHARLES HOSPICE - MADRAS,,98,33,381526,0,40,0,,0,,0,0.199,0.172,0.077,0.093,OR,470 NE A STREET,1159448,3773,21,568227,582155,36,97741
1,,81.9,,JOHN DAY,18,,0.054,0.128,39,11,,,,,0,17,,,OR - Bend,21,,11,BLUE MOUNTAIN HOSPICE,,99,0,381552,,28,0,,,0,0,0.175,0.328,0.037,0.123,OR,422 WEST MAIN STREET,572076,2145,,323053,331713,38,97845
1,0,83.8,0,REDMOND,73,,0.174,0.108,123,25,33,19,12,,17,45,28,23,OR - Bend,50,20,33,HOSPICE OF REDMOND,,100,0,381512,11,90,0,0,0,,,0.257,0.301,0.138,0.166,OR,732 SW 23RD STREET,2586529,9040,17,1512556,1394082,117,97756
1,,83.1,,LA PINE,58,,0.177,0.097,111,17,35,27,12,,21,62,19,14,OR - Bend,53,28,41,NEWBERRY HOSPICE,,100,0,381539,32,67,0,0,0,12,0,0.18,0.163,0.034,0.07,OR,51681 HUNTINGTON ROAD,2256017,11464,12,1921434,1762159,110,97739
1,,81.1,,LAKEWOOD,252,12,0.497,0.154,448,177,70,68,51,24,36,126,58,107,PA - Erie,196,120,198,HOSPICE CHAUTAUQUA COUNTY INC,,99,46,331554,12,295,0,18,123,0,0,0.241,0.272,0.095,0.15,NY,20 WEST FAIRMOUNT AVENUE,6219809,25346,31,3530042,3984663,425,14750
1,,82,,MEADVILLE,144,0,0.208,0.103,272,100,43,20,32,14,12,54,63,90,PA - Erie,128,57,71,HOSPICE OF CRAWFORD CNTY INC,0,100,0,391540,,196,0,0,54,,0,0.51,0.48,0.029,0.052,PA,448 PINE STREET,2632922,10960,,1508639,1680535,269,16335
1,0,79.7,,WARREN,106,0,0.562,0.225,196,87,28,,21,12,,31,,65,PA - Erie,90,49,33,HOSPICE OF WARREN COUNTY,,98,0,391551,0,106,0,43,30,17,0,0.259,0.21,0.092,0.107,PA,TWO CRESCENT PARK WEST,1517230,5572,20,804879,894892,194,16365
1,0,81.8,,ERIE,152,,0.182,0.105,259,116,38,23,24,,,41,49,89,PA - Erie,107,65,106,GREAT LAKES HOSPICE,,100,0,391605,,258,,,,,,0.424,0.328,0.02,0.035,PA,1700 PEACH STREET SUITE 244,2436378,8722,28,1155982,1339567,249,16501
1,0,80.6,,FRANKLIN,54,,0.186,0.129,110,38,22,,24,,,32,,24,PA - Erie,56,26,41,UPMC VISITING NURSES ASSOCIATION,0,99,0,391621,0,109,0,0,0,,,0.461,0.343,0.062,0.106,PA,491 ALLEGHENY BOULEVARD,1612164,6285,13,870004,966423,108,16323
1,,80.6,,CORRY,180,0,0.177,0.108,302,123,44,40,21,17,,60,57,95,PA - Erie,122,93,123,REGIONAL HOME HEALTH AND HOSPICE,,100,0,391625,22,201,0,,77,0,,0.381,0.33,0.06,0.098,PA,2564 VILLAGE COMMON DRIVE,2815507,10974,26,1460799,1690141,294,16506
1,0,82.8,11,ERIE,269,,0.334,0.15,410,106,59,109,36,27,58,145,73,106,PA - Erie,141,186,127,ASERACARE HOSPICE,,100,0,391661,54,132,0,0,,,215,0.241,0.218,0.059,0.107,PA,1600 PENINSULA DRIVE SUITE 14,6079354,29820,39,4061438,4598231,392,16505
1,,81.9,,ERIE,106,,0.214,0.128,196,49,31,52,17,19,28,67,28,42,PA - Erie,90,99,88,HEARTLAND HOSPICE SERVICES,0,100,0,391676,,73,0,11,102,,,0.268,0.365,0.045,0.047,PA,719 INDIANA DRIVE,3017837,13681,16,1848388,2110850,189,16505
1,0,77.2,0,ERIE,16,0,0.36,0.246,28,17,,,,,,12,,,PA - Erie,12,,,HOSPICE OF METROPOLITAN ERIE,0,100,0,391673,,23,0,0,,0,0,0.386,0.354,0.006,,PA,202 EAST TENTH STREET,422192,1718,,227972,264229,28,16503
1,0,83.9,0,NORTH EAST,28,0,0.428,0.195,45,13,,,,,,11,11,,PA - Erie,17,,17,COMMUNITY NURSING SERVICES OF NORTH EAST,0,100,0,391645,0,39,0,0,,,0,0.347,0.318,0.054,0.048,PA,7 PARK STREET,530271,1942,,257989,298959,45,16428
1,0,77.4,,BRADFORD,24,,0.122,0.056,42,22,,,,0,,,,12,PA - Erie,18,,,VNA OF NORTHWEST PA HOSPICE,0,100,0,391510,,29,0,0,0,,12,0.383,0.288,0.157,0.194,PA,1223 EAST MAIN STREET,374875,1496,,205800,229001,40,16701
1,0,79.1,0,COUDERSPORT,31,0,0.049,0.041,66,29,14,,,,,18,,23,PA - Erie,35,20,12,POTTER COUNTY HOSPICE,0,99,0,391620,0,59,0,,0,,0,0.076,0.194,0.002,,PA,1001 EAST SECOND STREET,829264,3641,,504831,561460,66,16915
1,0,80.2,,ST MARYS,55,0,0.223,0.128,92,43,14,,,,,15,14,32,PA - Erie,37,20,,COMMUNITY NURSES HOME HEALTH AND HOSPICE INC,,99,0,391562,,56,0,,20,0,0,0.35,0.31,0.081,0.126,PA,757 JOHNSONBURG ROAD SUITE 200,695848,3024,12,431360,479671,91,15857
1,,82.8,,ERIE,66,,0.139,0.126,105,36,29,,22,,12,36,,23,PA - Erie,39,38,49,"LAKELAND AREA HOSPICE, LP",,100,0,391729,,66,0,0,36,,0,0.233,0.29,0.033,0.066,PA,2221 A PENINSULA DRIVE,1339977,6700,,901796,1030074,98,16506
1,0,82.6,,ERIE,84,0,0.071,0.066,134,64,30,12,,,,34,,41,PA - Erie,50,28,54,VNA HOSPICE SERVICES OF ERIE C,,100,0,391581,,94,0,0,29,0,,0.094,0.1,0.022,0.037,PA,2253 WEST GRANDVIEW BOULEVARD,1397462,5735,16,754404,877687,132,16506
1,0,83.4,,MEADVILLE,116,,0.176,0.14,194,54,42,33,24,14,32,67,27,36,PA - Erie,78,84,74,SOUTHERNCARE MEADVILLE,0,100,,391681,,87,0,0,40,,56,0.175,0.312,0.027,0.046,PA,1245 PARK AVENUE,3538024,15045,25,2047090,2301119,191,16335
1,0,83.5,0,HANOVER,164,,0.673,0.246,276,106,53,44,25,,12,61,39,78,PA - York,112,51,73,HOSPICE PROGRAM/VNA OF HANOVER AND SPRING GROVE,,100,34,391548,17,155,0,,100,0,,0.328,0.317,0.06,0.097,PA,440 NORTH MADISON STREET,2686365,11635,15,1685758,1799212,273,17331
1,,83.4,18,YORK,396,,0.348,0.182,620,114,130,222,42,33,122,253,79,138,PA - York,224,270,180,"HEARTLAND HOSPICE SERVICES, INC",,100,0,391638,68,175,0,12,346,0,19,0.191,0.283,0.053,0.128,PA,3417C CONCORD ROAD,13114065,55821,39,8349664,8654446,582,17402
1,,80.3,,YORK,143,,0.267,0.131,254,117,34,55,14,13,17,64,21,47,PA - York,111,71,60,ASERACARE HOSPICE,,99,0,391653,14,152,0,,54,,32,0.244,0.179,0.037,0.069,PA,44 BOWMAN ROAD,2747816,12959,16,1907904,1993521,247,17408
1,0,81.9,,YORK,64,0,0.212,0.11,112,40,23,20,15,,,32,13,19,PA - York,48,13,45,MEMORIAL WHITE ROSE HOSPICE,,100,0,391552,,91,0,0,12,0,,0.377,0.291,0.047,0.074,PA,1412 6TH AVENUE,1312937,6148,,927584,947755,106,17403
1,,80.4,40,WACO,152,24,0.253,0.049,299,74,32,39,56,31,30,57,67,128,TX - Waco,147,52,94,SCOTT AND WHITE HOSPICE AT HILLCREST,,93,0,451569,,110,0,155,29,0,,0.26,0.396,0.049,0.099,TX,3000 HERRING AVENUE,4511760,14328,40,2443232,2717312,233,76708
1,,80.5,138,WACO,666,66,0.378,0.076,1173,300,174,174,196,101,136,319,228,425,TX - Waco,507,348,274,PROVIDENCE HOSPICE,,96,1321,451713,22,412,205,141,391,,,0.29,0.484,0.025,0.062,TX,6700 SANGER AVE,21984010,70475,57,10967498,12296782,962,76710
1,,82.2,40,WACO,179,22,0.384,0.111,285,65,52,79,23,26,45,114,40,45,TX - Waco,106,133,58,BLUEBONNET HEALTH SERVICES,,100,0,671532,15,129,0,0,0,0,141,0.23,0.544,0.031,0.075,TX,307 LONDONDERRY,5856038,24236,26,3373146,3723414,220,76712
1,0,81.6,28,WACO,114,,0.453,0.152,181,33,37,53,26,20,40,88,12,28,TX - Waco,67,78,37,GENTIVA HOSPICE,,100,0,671594,,71,0,0,80,,25,0.159,0.209,0.03,0.062,TX,510 NORTH VALLEY MILLS DRIVE STE.703,3808469,19206,31,2620398,2956566,145,76710
1,0,77.2,,WACO,,,0.145,0.105,13,,,,,0,,,,,TX - Waco,,,,TRADITIONS HOSPICE,0,100,0,671773,0,12,0,0,,,0,0.37,0.645,0.054,,TX,6611 SANGER AVENUE SUITE 2,119400,619,,83928,95396,11,76710
1,0,84.2,,CLIFTON,47,,0,0,78,18,15,24,,,,30,,19,TX - Waco,31,41,16,HOSPICE SUNSET,0,99,0,671557,0,13,0,,63,,0,0.538,0.441,0.037,0.058,TX,113 S AVE,1272195,5868,,792093,911085,75,76634
