Number of Records,Agency Name,City,Distinct Users Non Lupa,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,Zip Code
1,ALACARE HOME HEALTH & HOSPICE,DECATUR,2360,0,17326,AL,"1690 BELTLINE ROAD, SUITE B",4514,11982589,118341,10824948,13358305,429,35601
1,AMEDISYS HOME HEALTH OF WALKER,JASPER,343,0,17327,AL,100 HIGHWAY 78 WEST,536,1551148,17133,1475606,1743666,56,35501
1,AMEDISYS HOME HEALTH OF BREWTON,BREWTON,359,0,17328,AL,2554 DOUGLAS AVENUE,735,2025364,19661,1802146,2280004,78,36426
1,MARION COUNTY HOME CARE,HAMILTON,160,0,17847,AL,"2448 MILITARY STREET, SOUTH",308,774236,11924,724207,918991,54,35570
1,MARSHALL COUNTY HOME CARE,GUNTERSVILLE,98,0,17848,AL,150 JUDY SMITH DRIVE,289,659613,10778,582612,741097,46,35976
1,LIMESTONE COUNTY HOME CARE,ATHENS,270,0,17874,AL,20371 CLYDE MABRY DRIVE,582,1579593,29043,1440737,1632003,126,35611
1,LAWRENCE COUNTY HOME CARE,MOULTON,151,0,17876,AL,"13299 ALABAMA HIGHWAY 157, P O BOX 308",411,973143,16375,849768,1094537,81,35650
1,PROVIDENCE IN HOME SERVICES,ANCHORAGE,604,0,27001,AK,"4001 DALE STREET, SUITE 101",688,2598179,57716,2387679,2090178,121,99508
1,FAIRBANKS MEMORIAL HOSPITAL HHA,FAIRBANKS,179,0,27006,AK,"1302 21ST AVENUE, FLOOR 2",285,772900,23531,795317,763731,62,99701
1,AMEDISYS HOME HEALTH,SURPRISE,461,0,37011,AZ,"14239 WEST BELL ROAD, SUITE 219",785,3349520,19787,2714339,2648711,56,85374
1,BANNER HOME CARE,GILBERT,3021,0,37015,AZ,"275 EAST GERMANN ROAD, SUITE 110S",3354,6665370,377926,8778297,8666971,971,85297
1,SCOTTSDALE HEALTHCARE HOME HEALTH,SCOTTSDALE,1008,0,37024,AZ,3621 NORTH WELLS FARGO AVENUE,1215,2743580,94424,3527693,3457589,231,85251
1,SUMMIT HEALTHCARE HOME HEALTH,SHOW LOW,266,0,37027,AZ,2200 SHOW LOW LAKE ROAD,382,1111472,33522,933216,977129,93,85901
1,BAYADA HOME HEALTH CARE INC,PRESCOTT,533,0,37030,AZ,"2971 WILLOW CREEK ROAD, BUILDING 1, SUITE A",688,2051938,23646,2375127,2090365,56,86301
1,GENTIVA HEALTH SERVICES,TUCSON,860,0,37036,AZ,"6400 EAST EL DORADO CIRCLE, SUITE 120",1068,4563385,21398,3440526,3784062,64,85715
1,GENTIVA HEALTH SERVICES,PHOENIX,2292,0,37037,AZ,"16620 NORTH 40TH STREET, SUITE D4",2865,13925718,68017,10978211,10829231,182,85032
1,NORTHERN ARIZONA HOMECARE COTTONWOOD,COTTONWOOD,237,0,37042,AZ,"203 SOUTH CANDY LANE, SUITE 10 B",280,1300775,24110,824644,723956,49,86326
1,"UNIVERSITY OF ARIZONA MEDICAL CTRR-HOME HEAL, THE",TUCSON,183,0,37052,AZ,"655 EAST RIVER ROAD, SUITE B209",223,837143,16955,547422,593904,46,85704
1,HAVASU REGIONAL MED CENTER HOME HEALTH,LAKE HAVASU CITY,267,0,37057,AZ,"1851 MESQUITE BOULEVARD, SUITE 206",321,1116084,25937,862237,888009,66,86403
1,BAYADA HOME HEALTH CARE INC,PHOENIX,388,0,37068,AZ,"706 EAST BELL ROAD, SUITE 111",455,1248608,23517,1537550,1522573,65,85022
1,AMEDISYS HOME HEALTH CARE,PHOENIX,264,0,37106,AZ,"7600 NORTH 16TH STREET, SUITE 250",392,1237814,23441,1235063,1208684,67,85020
1,GRANITE MOUNTAIN HOME CARE,PRESCOTT,482,0,37139,AZ,3107 CLEARWATER DRIVE SUITE A,573,1230399,26434,1688923,1482414,55,86305
1,NIGHTINGALE HOMECARE,PHOENIX,506,0,37188,AZ,"2411 WEST ROSE GARDEN LANE, SUITE 110",605,1469235,31025,2097829,2048432,83,85027
1,AMEDISYS HOME HEALTH,YUMA,769,0,37192,AZ,"1380 SOUTH CASTLE DOME AVENUE, SUITE 107",1113,3948883,50370,3414843,3594341,145,85365
1,ARIZONA HOME CARE,TEMPE,1266,0,37199,AZ,1626 SOUTH EDWARD DRIVE,1559,4272179,120605,4493384,4418867,299,85281
1,HOME HEALTH RESOURCES,PHOENIX,902,0,37202,AZ,"7500 NORTH DREAMY DRAW DRIVE, SUITE 105A",999,1841652,66295,2821691,2760763,158,85020
1,BAYADA HOME HEALTH CARE INC,TUCSON,1498,0,37213,AZ,"6367 EAST TANQUE VERDE ROAD, SUITE 150",1869,5687316,80527,5588795,6104351,236,85715
1,LIFE CARE AT HOME,PHOENIX,304,0,37215,AZ,"1661 EAST CAMELBACK ROAD, SUITE 250",433,1240685,19024,1429975,1397042,51,85016
1,ANGELS CARE HOME HEALTH OF ARIZONA,COTTONWOOD,509,0,37217,AZ,301 SOUTH WILLARD,936,1907609,26133,2730480,2399650,66,86326
1,ASSISTED HEALTHCARE SERVICES,SCOTTSDALE,533,0,37220,AZ,"8165 EAST INDIAN BEND ROAD,  SUITE #101",663,2107249,25987,2088139,2041008,69,85250
1,LIFE CARE AT HOME,TUCSON,531,0,37221,AZ,1820 EAST RIVER ROAD SUITE D100,659,1858918,28498,2032213,2209014,93,85718
1,VICTORY HOME CARE AGENCY,MESA,567,0,37230,AZ,"1212 NORTH SPENCER STREET, SUITE # 1",955,2686530,27130,2745723,2675665,68,85203
1,TEAMSELECT HOME CARE,PHOENIX,1307,0,37234,AZ,"668 NORTH 44TH STREET, SUITE 227E",1531,2873741,56681,5212045,5171918,147,85008
1,"KC'S HOME HEALTH CARE, LLC",PHOENIX,1299,0,37244,AZ,"20612 NORTH CAVE CREEK ROAD, SUITE F151",1569,4407850,76900,5087161,5062475,205,85024
1,"VALLEY HOME CARE, LLC",PHOENIX,582,0,37245,AZ,"2730 WEST AQUA FRIA FREEWAY, SUITE #104",739,2305355,25418,2337233,2280784,64,85027
1,AMEDISYS HOME HEALTH CARE,TUCSON,611,0,37248,AZ,"3443 NORTH CAMPBELL AVENUE, SUITE #155",934,3449438,35747,2788748,3044335,112,85719
1,CARE PARTNERS HEALTH SERVICES INC,GOODYEAR,548,0,37261,AZ,"14122 WEST MCDOWELL ROAD, SUITE 104",658,1848224,20702,2257425,2207251,54,85392
1,ASSISTEO HOME HEALTH,PHOENIX,282,0,37262,AZ,"2929 NORTH 44TH STREET, SUITE 130",325,1256264,23734,1070943,1046899,61,85018
1,SANTE HOME HEALTH AND REHABILITATION SERVICES,SCOTTSDALE,1028,0,37271,AZ,"10575 NORTH 114TH STREET, SUITE 101",1119,3119595,33393,4016688,3929133,75,85259
1,"SUNLIFE HOME HEALTH, LLC",TUCSON,454,0,37282,AZ,627 NORTH 6TH AVENUE,603,3539492,25882,1852799,2019683,76,85705
1,MT GRAHAM REGIONAL MEDICAL CENTER HOME HEALTH SERV,SAFFORD,221,0,37294,AZ,"1600 SOUTH 20TH AVENUE, BUILDING E",388,847731,37437,863170,905428,105,85546
1,CARING TOUCH HOME CARE LLC,YUMA,333,0,37298,AZ,"2692 SOUTH AVENUE B, SUITE 2",416,1503889,18251,1071139,1126842,52,85364
1,"APISMELLIS HOMECARE, LLC",LAKE HAVASU CITY,474,0,37402,AZ,"500 NORTH LAKE HAVASU AVENUE, SUITE D102",677,2865163,41417,1623523,1676974,122,86404
1,PRIVATE NURSING INC,TEMPE,116,0,37403,AZ,"2405 EAST SOUTHERN AVENUE, SUITE 8-9",128,212629,33585,313303,306479,101,85282
1,VISITING NURSE ASSOCIATION OF ARKANSAS,LITTLE ROCK,1016,0,47001,AR,2 ST VINCENT CIRCLE,1335,4560507,72028,3583962,4059903,224,72205
1,MERCY HOME CARE,FORT SMITH,394,0,47011,AR,7301B ROGERS AVE,475,1442730,21601,1258066,1533236,69,72917
1,BAXTER REGIONAL MEDICAL CENTER HOME HEALTH,MOUNTAIN HOME,722,0,47016,AR,701 BURNETT DRIVE,1178,3226103,27937,2505385,3086874,91,72653
1,SOUTH ARKANSAS HOME CARE,EL DORADO,401,0,47021,AR,431 WEST OAK,684,2640700,14943,2053649,2549925,52,71730
1,PIGGOTT COMMUNITY HOSPITAL HHA,PIGGOTT,284,0,47031,AR,1206 GORDON DUCKWORTH DRIVE,525,1774307,13575,1264394,1563573,49,72454
1,WHITE COUNTY MEDICAL CENTER - SOUTH HOME HEALTH,SEARCY,646,0,47035,AR,1200 SOUTH MAIN,831,2437878,25962,1915686,2365867,96,72143
1,EXTENDED FAMILY ENTERPRISES,JONESBORO,228,0,47044,AR,2710 PHILLIPS DRIVE,464,1064305,14362,1178532,1398994,50,72401
1,AMEDISYS HOME HEALTH OF SEARCY,SEARCY,460,0,47057,AR,404 LLAMA DRIVE,728,2026341,22700,1839905,2244381,83,72143
1,INTREPID USA HEALTHCARE SERVICES,LITTLE ROCK,1173,0,47070,AR,"300 SOUTH RODNEY PARHAM, SUITE 14",1581,5625782,42570,4975029,5654174,136,72205
1,CONWAY REGIONAL HOMECARE SVCS,CONWAY,536,0,47083,AR,2134 ROBINSON,724,1895529,15611,1759590,2014593,49,72034
1,BAPTIST HEALTH HOME HEALTH-LR,LITTLE ROCK,1959,0,47090,AR,"11900 COLONEL GLENN ROAD, SUITE 2000",2562,6843281,108118,6856286,7899508,353,72210
1,AMEDYISIS HOME HEALTH OF MOUNTAIN VIEW,MOUNTAIN VIEW,317,0,47108,AR,609 SYLAMORE AVENUE,654,1782804,19771,1575354,1946329,71,72560
1,HOME HEALTH PROFESSIONALS INC,BLYTHEVILLE,258,0,47116,AR,509 HUTSON STREET,565,1361891,25678,1159726,1428592,92,72316
1,CRITTENDEN REG  HOSPITAL HOME HEALTH W MEMPHIS,WEST MEMPHIS,364,0,47122,AR,200 TYLER CMH PAVILLION  STE 1,771,1190960,24379,1973848,2224586,74,72301
1,NORTHEAST ARKANSAS HOMECARE,FORREST CITY,661,0,47128,AR,1712 LINDAUER,1537,4682443,40271,3604113,4255652,141,72335
1,WEST ARKANSAS HOME CARE,MENA,414,0,47133,AR,1201 SOUTH MENA STREET,841,2605675,17299,1856797,2293338,61,71953
1,HOME HEALTH PROFESSIONALS & HOSPICE,JONESBORO,266,0,47135,AR,2222 SPENCE CIRCLE,696,1925611,22997,1531896,1832199,85,72401
1,SOUTHWEST ARKANSAS HOMECARE,NASHVILLE,725,0,47138,AR,"132 MEDICAL CIRCLE, SUITE 400",1425,4745743,57140,3400157,4181168,224,71852
1,LITTLE RIVER MEMORIAL HOSPITAL HOME HEALTH,ASHDOWN,450,0,47139,AR,111 WEST MAIN STREET,1164,3270777,14354,2620868,3244721,52,71822
1,MERCY HOME HEALTH,ROGERS,637,0,47149,AR,"1200 WEST WALNUT STREET, SUITE 1800",888,2638294,31144,2481943,2652817,88,72756
1,CENTRAL ARKANSAS HOMECARE,HOT SPRINGS,741,0,47151,AR,"1820 CENTRAL AVENUE, SUITE C",1104,3394582,61674,2700124,3079902,198,71901
1,CARE IV HOME HEALTH,HOT SPRINGS,230,0,47174,AR,"100 RIDGEWAY, SUITE 3",375,1059761,17666,1074405,1218163,52,71901
