Number of Records,Address,City,County Name,Effectiveness Of Care National Comparison,Effectiveness Of Care National Comparison Footnote,Efficient Use Of Medical Imaging National Comparison,Efficient Use Of Medical Imaging National Comparison Footnote,Emergency Services,Hospital Name,Hospital Overall Rating,Hospital Overall Rating Footnote,Hospital Ownership,Hospital Type,Location,Meets Criteria For Meaningful Use Of Ehrs,Mortality National Comparison,Mortality National Comparison Footnote,Patient Experience National Comparison,Patient Experience National Comparison Footnote,Phone Number,Provider Id,Readmission National Comparison,Readmission National Comparison Footnote,Safety Of Care National Comparison,Safety Of Care National Comparison Footnote,State,Timeliness Of Care National Comparison,Timeliness Of Care National Comparison Footnote,Zip Code
1,160 ALLEN ST,RUTLAND,RUTLAND,Same as the national average,,Same as the national average,,True,RUTLAND REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,"160 ALLEN ST RUTLAND, VT 05701 (43.599188, -72.956195)",True,Same as the national average,,Above the national average,,(802) 775-7111,470005,Above the national average,,Above the national average,,VT,Same as the national average,,05701
1,100 WELLNESS WAY,MILFORD,SUSSEX,Same as the national average,,Same as the national average,,True,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",2,,Voluntary non-profit - Private,Acute Care Hospitals,"100 WELLNESS WAY MILFORD, DE 19963",True,Same as the national average,,Above the national average,,(302) 422-3311,080009,Same as the national average,,Below the national average,,DE,Below the national average,,19963
1,FRIENDSHIP STREET,NEWPORT,NEWPORT,Same as the national average,,Same as the national average,,True,NEWPORT HOSPITAL,5,,Voluntary non-profit - Private,Acute Care Hospitals,"FRIENDSHIP STREET NEWPORT, RI 02840",True,Above the national average,,Above the national average,,(401) 846-6400,410006,Above the national average,,Below the national average,,RI,Same as the national average,,02840
1,111 COLCHESTER AVE,BURLINGTON,CHITTENDEN,Same as the national average,,Same as the national average,,True,UNIVERSITY OF VERMONT MEDICAL CENTER,3,,Voluntary non-profit - Other,Acute Care Hospitals,"111 COLCHESTER AVE BURLINGTON, VT 05401 (44.480991, -73.195518)",True,Below the national average,,Above the national average,,(802) 847-0000,470003,Above the national average,,Above the national average,,VT,Below the national average,,05401
1,189 PROUTY DRIVE,NEWPORT,ORLEANS,Not Available,5,Same as the national average,,True,NORTH COUNTRY HOSPITAL AND HEALTH CENTER,3,,Voluntary non-profit - Private,Critical Access Hospitals,"189 PROUTY DRIVE NEWPORT, VT 05855 (44.954614, -72.200339)",True,Same as the national average,,Above the national average,,(802) 334-7331,471304,Below the national average,,Not Available,5,VT,Not Available,16,05855
1,4300 BARTLETT ST,HOMER,KENAI PENINSULA,Same as the national average,,Same as the national average,,True,SOUTH PENINSULA HOSPITAL,4,,Voluntary non-profit - Private,Critical Access Hospitals,"4300 BARTLETT ST HOMER, AK 99603 (59.652133, -151.550296)",True,Not Available,5,Above the national average,,(907) 235-8101,021313,Same as the national average,,Not Available,5,AK,Same as the national average,,99603
1,100 HOSPITAL DRIVE,BENNINGTON,BENNINGTON,Same as the national average,,Same as the national average,,True,SOUTHWESTERN VERMONT MEDICAL CENTER,4,,Voluntary non-profit - Private,Acute Care Hospitals,"100 HOSPITAL DRIVE BENNINGTON, VT 05201 (42.873911, -73.204343)",True,Same as the national average,,Above the national average,,(802) 442-6361,470012,Above the national average,,Above the national average,,VT,Same as the national average,,05201
1,593 EDDY STREET,PROVIDENCE,PROVIDENCE,Same as the national average,,Above the national average,,True,RHODE ISLAND HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,"593 EDDY STREET PROVIDENCE, RI 02903 (41.811956, -71.407049)",True,Same as the national average,,Below the national average,,(401) 444-4000,410007,Below the national average,,Below the national average,,RI,Below the national average,,02903
1,455 TOLL GATE RD,WARWICK,KENT,Below the national average,,Above the national average,,True,KENT COUNTY MEMORIAL HOSPITAL,2,,Proprietary,Acute Care Hospitals,"455 TOLL GATE RD WARWICK, RI 02886 (41.704478, -71.477902)",True,Same as the national average,,Below the national average,,(401) 737-7010,410009,Below the national average,,Below the national average,,RI,Below the national average,,02886
1,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,PROVIDENCE,Same as the national average,,Not Available,5,True,OUR LADY OF FATIMA HOSPITAL,2,,Proprietary,Acute Care Hospitals,"200 HIGH SERVICE AVENUE NORTH PROVIDENCE, RI 02904 (41.855796, -71.458498)",True,Same as the national average,,Same as the national average,,(401) 456-3000,410005,Below the national average,,Below the national average,,RI,Same as the national average,,02904
1,1301 PUNCHBOWL ST,HONOLULU,HONOLULU,Same as the national average,,Same as the national average,,True,THE QUEENS MEDICAL CENTER,5,,Voluntary non-profit - Private,Acute Care Hospitals,"1301 PUNCHBOWL ST HONOLULU, HI 96813 (21.308307, -157.854965)",True,Same as the national average,,Above the national average,,(808) 538-9011,120001,Above the national average,,Above the national average,,HI,Below the national average,,96813
1,4643 WAIMEA CANYON DRIVE,WAIMEA,KAUAI,Same as the national average,,Not Available,5,True,KAUAI VETERANS MEMORIAL HOSPITAL,3,,Government - State,Critical Access Hospitals,"4643 WAIMEA CANYON DRIVE WAIMEA, HI 96796 (21.960079, -159.670055)",True,Not Available,5,Not Available,16,(808) 338-9431,121300,Same as the national average,,Not Available,16,HI,Same as the national average,,96796
1,3200 PROVIDENCE DRIVE,ANCHORAGE,ANCHORAGE,Below the national average,,Above the national average,,True,PROVIDENCE ALASKA MEDICAL CENTER,4,,Voluntary non-profit - Church,Acute Care Hospitals,"3200 PROVIDENCE DRIVE ANCHORAGE, AK 99508 (61.189798, -149.817622)",True,Same as the national average,,Same as the national average,,(907) 562-2211,020001,Above the national average,,Above the national average,,AK,Below the national average,,99508
1,801 MIDDLEFORD RD,SEAFORD,SUSSEX,Same as the national average,,Same as the national average,,True,NANTICOKE MEMORIAL HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,"801 MIDDLEFORD RD SEAFORD, DE 19973 (38.642332, -75.605325)",True,Same as the national average,,Same as the national average,,(302) 629-6611,080006,Above the national average,,Above the national average,,DE,Below the national average,,19973
1,888 SO KING STREET,HONOLULU,HONOLULU,Same as the national average,,Same as the national average,,True,STRAUB CLINIC AND HOSPITAL,5,,Proprietary,Acute Care Hospitals,"888 SO KING STREET HONOLULU, HI 96813 (21.302268, -157.850921)",True,Same as the national average,,Above the national average,,(808) 522-4000,120022,Above the national average,,Above the national average,,HI,Same as the national average,,96813
1,3-3420 KUHIO HIGHWAY,LIHUE,KAUAI,Same as the national average,,Same as the national average,,True,WILCOX MEMORIAL HOSPITAL,4,,Government - Federal,Acute Care Hospitals,"3-3420 KUHIO HIGHWAY LIHUE, HI 96766 (21.987043, -159.366198)",True,Same as the national average,,Same as the national average,,(808) 245-1103,120014,Above the national average,,Above the national average,,HI,Same as the national average,,96766
1,44 SOUTH MAIN STREET,RANDOLPH,ORANGE,Same as the national average,,Same as the national average,,True,GIFFORD MEDICAL CENTER,4,,Voluntary non-profit - Private,Critical Access Hospitals,"44 SOUTH MAIN STREET RANDOLPH, VT 05060 (43.917547, -72.666255)",True,Same as the national average,,Above the national average,,(802) 728-4441,471301,Same as the national average,,Not Available,5,VT,Not Available,16,05060
1,4755 OGLETOWN-STANTON ROAD,NEWARK,NEW CASTLE,Below the national average,,Above the national average,,True,"CHRISTIANA CARE HEALTH SERVICES, INC.",3,,Voluntary non-profit - Private,Acute Care Hospitals,"4755 OGLETOWN-STANTON ROAD NEWARK, DE 19718 (39.689909, -75.673228)",True,Above the national average,,Same as the national average,,(302) 733-1000,080001,Above the national average,,Below the national average,,DE,Below the national average,,19718
1,3260 HOSPITAL DR,JUNEAU,JUNEAU,Same as the national average,,Same as the national average,,True,BARTLETT REGIONAL HOSPITAL,4,,Government - Local,Acute Care Hospitals,"3260 HOSPITAL DR JUNEAU, AK 99801 (58.328696, -134.466829)",,Same as the national average,,Above the national average,,(907) 796-8900,020008,Above the national average,,Same as the national average,,AK,Same as the national average,,99801
1,825 CHALKSTONE AVENUE,PROVIDENCE,PROVIDENCE,Same as the national average,,Not Available,5,True,ROGER WILLIAMS MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,"825 CHALKSTONE AVENUE PROVIDENCE, RI 02908 (41.834015, -71.43458)",True,Same as the national average,,Same as the national average,,(401) 456-2025,410004,Below the national average,,Same as the national average,,RI,Below the national average,,02908
1,BOX 547,BARRE,WASHINGTON,Above the national average,,Above the national average,,True,CENTRAL VERMONT MEDICAL CENTER,4,,Voluntary non-profit - Private,Acute Care Hospitals,"BOX 547 BARRE, VT 05641",True,Same as the national average,,Same as the national average,,(802) 371-4100,470001,Below the national average,,Same as the national average,,VT,Same as the national average,,05641
1,164 SUMMIT AVENUE,PROVIDENCE,PROVIDENCE,Same as the national average,,Above the national average,,True,THE MIRIAM HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,"164 SUMMIT AVENUE PROVIDENCE, RI 02906 (41.851653, -71.397562)",True,Above the national average,,Above the national average,,(401) 793-2500,410012,Below the national average,,Same as the national average,,RI,Below the national average,,02906
1,3100 TONGASS AVENUE,KETCHIKAN,KETCHIKAN GATEWAY,Same as the national average,,Same as the national average,,True,KETCHIKAN MEDICAL CENTER,4,,Voluntary non-profit - Church,Critical Access Hospitals,"3100 TONGASS AVENUE KETCHIKAN, AK 99901 (55.352717, -131.686049)",True,Same as the national average,,Same as the national average,,(907) 225-5171,021311,Above the national average,,Not Available,5,AK,Same as the national average,,99901
1,9048 SUGAR ESTATE,ST THOMAS,SAINT THOMAS ISLAND,Same as the national average,,Same as the national average,,True,"ROY LESTER SCHNEIDER HOSPITAL,THE",3,,Government - Local,Acute Care Hospitals,"9048 SUGAR ESTATE ST THOMAS, VI 00801",,Same as the national average,,Not Available,16,(809) 776-8311,480001,Above the national average,,Same as the national average,,VI,Not Available,5,00801
1,2041 GEORGIA AVE NW,WASHINGTON,THE DISTRICT,Same as the national average,,Same as the national average,,True,HOWARD UNIVERSITY HOSPITAL,2,,Voluntary non-profit - Other,Acute Care Hospitals,"2041 GEORGIA AVE NW WASHINGTON, DC 20060 (38.917011, -77.021896)",True,Same as the national average,,Below the national average,,(202) 745-6100,090003,Below the national average,,Above the national average,,DC,Below the national average,,20060
1,640 ULUKAHIKI ST,KAILUA,HONOLULU,Same as the national average,,Same as the national average,,True,ADVENTIST HEALTH CASTLE,4,,Voluntary non-profit - Church,Acute Care Hospitals,"640 ULUKAHIKI ST KAILUA, HI 96734 (21.381502, -157.757229)",True,Same as the national average,,Above the national average,,(808) 263-5500,120006,Above the national average,,Same as the national average,,HI,Same as the national average,,96734
1,7TH AND CLAYTON STS,WILMINGTON,NEW CASTLE,Same as the national average,,Same as the national average,,True,ST FRANCIS HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"7TH AND CLAYTON STS WILMINGTON, DE 19805",True,Same as the national average,,Below the national average,,(302) 421-4100,080003,Above the national average,,Above the national average,,DE,Below the national average,,19805
1,2801 DEBARR ROAD,ANCHORAGE,ANCHORAGE,Same as the national average,,Not Available,5,True,ALASKA REGIONAL HOSPITAL,5,,Proprietary,Acute Care Hospitals,"2801 DEBARR ROAD ANCHORAGE, AK 99508 (61.20979, -149.827379)",True,Same as the national average,,Same as the national average,,(907) 276-1131,020017,Above the national average,,Above the national average,,AK,Above the national average,,99508
1,1150 VARNUM ST NE,WASHINGTON,THE DISTRICT,Below the national average,,Same as the national average,,True,PROVIDENCE HOSPITAL,1,,Voluntary non-profit - Private,Acute Care Hospitals,"1150 VARNUM ST NE WASHINGTON, DC 20017 (38.942877, -76.990824)",True,Same as the national average,,Below the national average,,(202) 269-7000,090006,Below the national average,,Below the national average,,DC,Below the national average,,20017
1,133 FAIRFIELD STREET,SAINT ALBANS,FRANKLIN,Same as the national average,,Same as the national average,,True,NORTHWESTERN MEDICAL CENTER INC,4,,Voluntary non-profit - Other,Acute Care Hospitals,"133 FAIRFIELD STREET SAINT ALBANS, VT 05478 (44.806463, -73.072549)",True,Same as the national average,,Above the national average,,(802) 524-5911,470024,Same as the national average,,Above the national average,,VT,Same as the national average,,05478
1,17 BELMONT AVE,BRATTLEBORO,WINDHAM,Same as the national average,,Same as the national average,,True,BRATTLEBORO MEMORIAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"17 BELMONT AVE BRATTLEBORO, VT 05301 (42.84207, -72.564643)",True,Same as the national average,,Below the national average,,(802) 257-0341,470011,Above the national average,,Below the national average,,VT,Same as the national average,,05301
1,79-1019 HAUKAPILA STREET,KEALAKEKUA,HAWAII,Same as the national average,,Same as the national average,,True,KONA COMMUNITY HOSPITAL,2,,Government - State,Acute Care Hospitals,"79-1019 HAUKAPILA STREET KEALAKEKUA, HI 96750 (19.519237, -155.917719)",True,Same as the national average,,Below the national average,,(808) 322-9311,120019,Below the national average,,Above the national average,,HI,Below the national average,,96750
1,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HAWAII,Same as the national average,,Same as the national average,,True,NORTH HAWAII COMMUNITY HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,"67 1125 MAMALAHOA HIGHWAY KAMUELA, HI 96743",True,Same as the national average,,Same as the national average,,(808) 885-4444,120028,Above the national average,,Same as the national average,,HI,Same as the national average,,96743
1,128 LEHUA STREET,WAHIAWA,HONOLULU,Same as the national average,,Same as the national average,,True,WAHIAWA GENERAL HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,"128 LEHUA STREET WAHIAWA, HI 96786 (21.498511, -158.027299)",True,Same as the national average,,Below the national average,,(808) 621-8411,120004,Above the national average,,Not Available,5,HI,Same as the national average,,96786
1,25 WELLS STREET,WESTERLY,WASHINGTON,Same as the national average,,Same as the national average,,True,WESTERLY HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,"25 WELLS STREET WESTERLY, RI 02891 (41.362798, -71.825814)",True,Same as the national average,,Same as the national average,,(401) 596-6000,410013,Above the national average,,Above the national average,,RI,Below the national average,,02891
1,424 SAVANNAH RD,LEWES,SUSSEX,Same as the national average,,Above the national average,,True,BEEBE MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,"424 SAVANNAH RD LEWES, DE 19958 (38.777413, -75.13586)",True,Same as the national average,,Same as the national average,,(302) 645-3300,080007,Below the national average,,Below the national average,,DE,Below the national average,,19958
1,"111 MICHIGAN AVE, NW",WASHINGTON,THE DISTRICT,Not Available,5,Not Available,5,True,CHILDREN'S HOSPITAL NMC,Not Available,5,Voluntary non-profit - Private,Childrens,"111 MICHIGAN AVE, NW WASHINGTON, DC 20010 (38.926273, -77.013878)",,Not Available,5,Not Available,5,(202) 476-5000,093300,Not Available,5,Not Available,5,DC,Not Available,5,20010
1,PO BOX 43,KOTZEBUE,NORTHWEST ARTIC BOROUGH,Not Available,5,Not Available,5,True,MANIILAQ HEALTH CENTER,Not Available,5,Tribal,Critical Access Hospitals,"PO BOX 43 KOTZEBUE, AK 99752",,Not Available,5,Not Available,5,(907) 442-3321,021310,Not Available,5,Not Available,5,AK,Not Available,5,99752
1,45-547 PLUMERIA STREET,HONOKAA,HAWAII,Not Available,5,Not Available,5,True,HALE HO'OLA HAMAKUA,Not Available,5,Government - State,Critical Access Hospitals,"45-547 PLUMERIA STREET HONOKAA, HI 96727 (20.076271, -155.470595)",,Not Available,5,Not Available,5,(808) 932-4100,121307,Not Available,5,Not Available,5,HI,Not Available,5,96727
1,54-383 HOSPITAL ROAD,KAPAAU,HAWAII,Not Available,5,Not Available,5,True,KOHALA HOSPITAL,Not Available,5,Government - State,Critical Access Hospitals,"54-383 HOSPITAL ROAD KAPAAU, HI 96755 (20.231737, -155.797253)",True,Not Available,5,Not Available,5,(808) 889-6211,121302,Not Available,5,Not Available,5,HI,Not Available,5,96755
1,628 7TH STREET,LANAI CITY,MAUI,Not Available,5,Not Available,5,True,LANAI COMMUNITY HOSPITAL,Not Available,5,Government - State,Critical Access Hospitals,"628 7TH STREET LANAI CITY, HI 96763 (20.826735, -156.918002)",,Not Available,5,Not Available,5,(808) 565-8450,121305,Not Available,5,Not Available,5,HI,Not Available,5,96763
1,FAGAALU VILLAGE,PAGO PAGO,EASTERN DISTRICT,Not Available,16,Not Available,5,True,LBJ TROPICAL MEDICAL CENTER,Not Available,16,Government - Hospital District or Authority,Acute Care Hospitals,"FAGAALU VILLAGE PAGO PAGO, AS 96799",,Not Available,16,Not Available,16,(684) 633-4590,640001,Not Available,16,Not Available,16,AS,Not Available,16,96799
1,P O BOX 130,DILLINGHAM,DILLINGHAM,Not Available,5,Not Available,16,True,KANAKANAK HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"P O BOX 130 DILLINGHAM, AK 99576",,Not Available,16,Not Available,16,(907) 842-5201,021309,Not Available,5,Not Available,16,AK,Not Available,16,99576
1,289 COUNTY ROAD,WINDSOR,WINDSOR,Not Available,16,Not Available,16,True,MT ASCUTNEY HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"289 COUNTY ROAD WINDSOR, VT 05089 (43.487522, -72.40091)",True,Same as the national average,,Not Available,16,(802) 674-6711,471302,Same as the national average,,Not Available,5,VT,Not Available,16,05089
1,222 TONGASS DR,SITKA,SITKA BOROUGH,Same as the national average,,Not Available,16,True,MT EDGECUMBE HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"222 TONGASS DR SITKA, AK 99835 (57.05201, -135.356353)",,Not Available,16,Not Available,16,(907) 966-2411,021314,Not Available,5,Not Available,16,AK,Not Available,5,99835
1,1 KAMANI STREET,PAHALA,HAWAII,Not Available,5,Not Available,16,True,KAU HOSPITAL,Not Available,16,Government - State,Critical Access Hospitals,"1 KAMANI STREET PAHALA, HI 96777 (19.200571, -155.472097)",True,Not Available,16,Not Available,16,(808) 928-8331,121301,Not Available,16,Not Available,16,HI,Same as the national average,,96777
1,"417 FIRST AVENUE, PO BOX 365",SEWARD,KENAI PENINSULA,Not Available,5,Not Available,16,True,PROVIDENCE SEWARD HOSPITAL,Not Available,16,Government - Local,Critical Access Hospitals,"417 FIRST AVENUE, PO BOX 365 SEWARD, AK 99664 (60.105046, -149.445383)",True,Not Available,16,Not Available,16,(907) 224-5205,021302,Not Available,5,Not Available,16,AK,Not Available,5,99664
1,PO BOX 550,VALDEZ,VALDEZ-CORDOVA,Not Available,5,Not Available,16,True,PROVIDENCE VALDEZ MEDICAL CENTER,Not Available,16,Government - Local,Critical Access Hospitals,"PO BOX 550 VALDEZ, AK 99686",True,Not Available,16,Not Available,16,(907) 835-2249,021301,Not Available,16,Not Available,16,AK,Not Available,5,99686
1,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,NOME,Not Available,5,Not Available,16,True,NORTON SOUND REGIONAL HOSPITAL,Not Available,16,Tribal,Critical Access Hospitals,"1000 GREG KRUSCHEK AVENUE (P O BOX 966) NOME, AK 99762",True,Not Available,5,Not Available,16,(907) 443-3311,021308,Not Available,5,Not Available,16,AK,Not Available,16,99762
1,7000 UULA ST,BARROW,NORTH SLOPE BOROUH,Not Available,5,Not Available,16,True,SAMUEL SIMMONDS MEMORIAL HOSPITAL,Not Available,16,Government - Federal,Critical Access Hospitals,"7000 UULA ST BARROW, AK 99723 (71.298135, -156.72732)",,Not Available,16,Not Available,16,(907) 852-4611,021312,Not Available,5,Not Available,16,AK,Not Available,16,99723
1,1 LOWER NAVY HILL ROAD (PO BOX 409CK),GARAPAN,SAIPAN,Not Available,16,Not Available,16,True,COMMONWEALTH HEALTH CENTER,Not Available,16,Proprietary,Acute Care Hospitals,"1 LOWER NAVY HILL ROAD (PO BOX 409CK) GARAPAN, MP 96950",,Same as the national average,,Not Available,16,(670) 234-8950,660001,Same as the national average,,Not Available,16,MP,Not Available,16,96950
1,280 HOME OLU PLACE,KAUNAKAKAI,MAUI,Not Available,5,Not Available,16,True,MOLOKAI GENERAL HOSPITAL,Not Available,16,Voluntary non-profit - Private,Critical Access Hospitals,"280 HOME OLU PLACE KAUNAKAKAI, HI 96748 (21.09376, -157.017982)",True,Not Available,16,Not Available,16,(808) 553-5331,121303,Not Available,16,Not Available,16,HI,Not Available,16,96748
1,85O GOV CARLOS G CAMACHO ROAD,TAMUNING,GUAM,Not Available,5,Not Available,5,True,GUAM MEMORIAL HOSPITAL AUTHORITY,Not Available,16,Government - Local,Acute Care Hospitals,"85O GOV CARLOS G CAMACHO ROAD TAMUNING, GU 96913",,Same as the national average,,Not Available,16,(671) 647-2552,650001,Below the national average,,Not Available,5,GU,Not Available,5,96913
