Number of Records,Agency Name,American Indian Or Alaska Native Beneficiaries,Asian Pacific Islander Beneficiaries,Average Age,Average Hcc Score,Average Number Of Home Health Aide Visits Per Episode Non Lupa,Average Number Of Medical Social Visits Per Episode Non Lupa,Average Number Of Ot Visits Per Episode Non Lupa,Average Number Of Pt Visits Per Episode Non Lupa,Average Number Of Skilled Nursing Visits Per Episode Non Lupa,Average Number Of St Visits Per Episode Non Lupa,Average Number Of Total Visits Per Episode Non Lupa,Black Beneficiaries,City,Distinct Beneficiaries Non Lupa,Dua Beneficiaries,Female Beneficiaries,Hispanic Beneficiaries,Male Beneficiaries,Nondual Beneficiaries,Other Unknown Beneficiaries,Outlier Payments As A Percent Of Medicare Payment Amount Non Lupa,Percent Of Beneficiaries With Alzheimers,Percent Of Beneficiaries With Asthma,Percent Of Beneficiaries With Atrial Fibrillation,Percent Of Beneficiaries With Cancer,Percent Of Beneficiaries With Chf,Percent Of Beneficiaries With Chronic Kidney Disease,Percent Of Beneficiaries With Copd,Percent Of Beneficiaries With Depression,Percent Of Beneficiaries With Diabetes,Percent Of Beneficiaries With Hyperlipidemia,Percent Of Beneficiaries With Hypertension,Percent Of Beneficiaries With Ihd,Percent Of Beneficiaries With Osteoporosis,Percent Of Beneficiaries With Ra Oa,Percent Of Beneficiaries With Schizophrenia,Percent Of Beneficiaries With Stroke,Provider Id,State,Street Address,Total Episodes Non Lupa,Total Hha Charge Amount Non Lupa,Total Hha Medicare Payment Amount For Lupas,Total Hha Medicare Payment Amount Non Lupa,Total Hha Medicare Standard Payment Amount Non Lupa,Total Lupa Episodes,White Beneficiaries,Zip Code
1,VITAL HOME HEALTH CARE,0,,58,1.94,0.4,0,0.1,7.8,7.4,0,15.6,45,SOUTHFIELD,58,40,25,,33,18,0,0,10,50,2,9,31,24,48,64,59,67,,74,5,,29,12,237571,MI,"24001 SOUTHFIELD RD, SUITE 203A",80,181056,,236223,254202,,,48075
1,"GRACE HOME HEALTH SERVICES, INC",0,0,58,2.56,0.8,0,0.4,0.9,10.8,0.1,13,,TOLEDO,12,,,,,,0,0,8,42,0,8,42,50,33,42,58,75,,67,17,67,8,17,368438,OH,"3540 SECOR ROAD, SUITE 100",40,106941,,74895,81914,,,43606
1,THREE STAR HOME HEALTH AGENCY INC,0,0,58,2.89,3.5,0,0,0.9,11.8,0,16.3,,DUNCANVILLE,14,,,0,,,0,0.2,21,36,14,7,57,43,14,64,64,50,,50,0,71,43,21,679380,TX,407 N CEDAR RIDGE SUITE 325,44,100957,,90860,93301,,,75116
1,MEGA HEALTH CARE PROVIDERS INC,0,0,58,1.85,0,0,0.1,3.9,8.6,0,12.7,81,MISSOURI CITY,91,62,41,,50,29,,0,11,32,0,2,22,19,43,,44,45,,49,4,,18,5,679695,TX,2440 TEXAS PARKWAY SUITE 310,139,342966,,365990,373960,,,77489
1,C & M HEALTH SERVICES,0,0,58,2.73,0,0,0,5.8,8.6,0,14.4,34,SUGAR LAND,40,29,23,,17,11,0,0,8,35,3,0,30,33,65,30,63,50,,53,5,,10,8,747195,TX,10634 HILLSDALE BRIDGE,129,278551,,344461,352286,,,77478
1,MEDPSYCH,0,0,58,2.54,0,0,0,16.3,8.5,0,24.8,74,HOUSTON,85,69,36,,49,16,0,0.2,25,33,4,6,33,36,60,74,59,59,,,6,,38,16,747364,TX,14601 BELLAIRE BLVD SUITE 145,240,1418649,,910517,948782,,,77083
1,RHYTHMIC HOME HEALTH CARE SERVICES INC,0,0,58,2.06,0.1,0,0.1,1.6,12.6,0,14.4,67,HOUSTON,78,57,37,,41,21,,7.8,14,17,5,0,33,26,26,47,56,56,,51,4,63,23,4,747380,TX,9226 S DAIRYASHFORD  2601,276,626945,,650068,612994,,,77099
1,TREASURE CARE HOME HEALTH INC,0,0,58,1.78,0,0,1,10.4,7.4,0,18.8,17,RICHMOND,22,,,,,,0,0,41,18,5,0,50,23,27,,23,64,,64,5,,45,5,747583,TX,7902 LINDEN OAKS LANE,44,192952,,150705,153978,,,77407
1,NEXCARE HOME HEALTH AGENCY,,,58,2.44,0,0,0.4,11.2,8.5,0,20.2,261,KATY,273,220,124,,149,53,0,0,12,33,2,5,31,33,52,65,52,51,,48,7,,19,4,747590,TX,830 S MASON ROAD KATY,686,3185962,,2296871,2349984,,,77450
1,AMSTAR HOME HEALTH SERVICES INC,,0,58,2.12,0,0,0.5,3.4,8.5,0,12.5,39,RICHMOND,58,35,34,,24,23,0,0,26,29,0,5,29,24,28,66,47,53,,45,12,72,48,14,747610,TX,7423 GARLAND MIST LN,164,392954,,356133,363884,,13,77407
1,M&D HEALTHCARE SERVICES INC,,0,58,2.19,0.8,0,0,0.8,7.9,0,9.5,29,DALLAS,33,,17,0,16,,0,0,24,27,6,6,33,27,30,55,58,67,,55,0,,36,9,747617,TX,9535 FOREST LANE SUITE 214,108,192726,,233827,241482,,,75243
1,INFINITY HEALTHCARE SERVICES INC,0,0,58,2.16,0,0,0,4.2,8.3,0,12.5,108,HOUSTON,133,86,53,,80,47,,0,13,29,2,6,22,29,34,60,47,47,,57,5,,26,6,747622,TX,6260 WESTPARK DR SUITE 266,308,739545,,709939,729302,,17,77057
1,DIRECARE HEALTH SERVICES,0,0,58,1.34,0,0,0,6.5,8.6,0,15.1,38,SUGAR LAND,40,24,16,,24,16,0,0,8,18,0,0,20,8,18,58,53,33,,55,3,,15,5,747712,TX,15006 SUGAR SANDS DRIVE,88,188709,,247268,252655,,,77498
1,AWFOD HOME HEALTHCARE SERVICES INC,0,0,58,1.62,0.2,0,0.2,10.4,11.7,0,22.5,82,MISSOURI CITY,91,70,51,,40,21,0,0,4,19,2,4,26,24,30,46,34,49,,70,3,69,10,5,743165,TX,3515 SAMUEL ADAMS LANE,253,1181172,0,754543,835990,0,,77459
1,FRIENDS HEALTH SERVICES,,0,58,1.57,16.6,0.4,7.4,11,11.8,0,47,39,HOUSTON,66,42,34,,32,24,0,0.3,11,17,0,3,14,14,29,42,,39,,45,2,56,18,6,747096,TX,9894 BISSONNET SUITE 320,147,1040551,0,749965,764032,0,22,77036
1,DEBEST HOMEHEALTH SERVICES INC,0,0,58,1.56,0,0,0.5,2.9,8.3,0,11.6,15,HOUSTON,15,,,0,,,0,0,0,13,0,7,47,33,33,40,20,60,,47,0,,7,0,747392,TX,9888 BISSONNET STREET SUITE # 250,31,54372,0,74138,75752,0,0,77036
1,"NEAT HOME CARE, INC",0,,59,2.11,0.2,0,0.1,0.8,16.6,0,17.6,26,LOS ANGELES,118,,67,29,51,,,8.5,27,17,7,2,46,44,42,70,45,66,,59,8,42,,8,59053,CA,"2500 WILSHIRE BLVD, SUITE D",212,507343,,709352,554474,,54,90057
1,"MID-CARE HOME HEALTH SERVICES, INC",0,,59,1.94,0,0,0.1,0.4,8.3,0,8.7,111,CHICAGO,127,110,62,,65,17,0,0,17,44,6,4,52,42,44,52,59,54,,65,6,,18,2,147949,IL,4006 W ADDISON ST,367,675248,,763178,749970,,,60641
1,GBS MEMORIAL HOME HEALTH SERVICES,0,0,59,2.14,1,0,0.1,0.7,9,0,10.6,,TINLEY PARK,13,,,0,,,0,0,38,23,8,8,31,62,15,54,,62,,62,8,46,8,8,147962,IL,"6732 173RD STREET, SUITE 5",46,90491,,97852,98182,,,60477
1,V-CARE HOME HEALTH,0,,59,2.01,0.1,0.1,0,10.6,1.3,0,12.1,63,SOUTHFIELD,75,57,30,,45,18,0,0,13,,5,3,29,28,27,25,48,57,,52,15,,9,5,239051,MI,"19111 W 10 MILE RD, SUITE 108",122,205702,,375381,403617,,,48075
1,URGENT HOME CARE,0,,59,1.66,0,0,0.2,13.6,5.9,0,19.7,129,FARMINGTON HILLS,139,104,52,0,87,35,0,0,12,36,1,5,27,34,59,44,53,63,,58,12,,17,7,239082,MI,"31555 W 14 MILE ROAD, SUITE 205",189,817490,,671258,722970,,,48334
1,CITIZENS CARE SERVICE,,0,59,1.94,0.2,0,3.8,12.4,4,0,20.4,22,GARDEN CITY,42,,11,0,31,,,0,29,24,0,2,24,24,,,62,62,,50,2,,,10,239205,MI,31529 WARREN RD,89,430565,,408284,439856,,19,48135
1,GOLD HOME HEALTH CARE LLC,0,0,59,1.67,14.4,0,0,0,9.6,0,24,16,CINCINNATI,18,,,0,,,,0.1,11,11,0,6,22,33,33,39,61,50,,28,6,39,11,11,368341,OH,"10 TRIANGLE PARK DRIVE, SUITE 1002",45,149167,,87989,92162,,,45246
1,TEXAS TENDER CARE HOME INC,0,0,59,2.14,0.5,0,0.2,3.9,11.2,0,15.8,143,HOUSTON,158,122,68,,90,36,0,0,9,25,3,6,25,24,41,47,46,43,,61,3,,22,8,677844,TX,7457 HARWIN 325,406,1069115,,970525,1011409,,,77036
1,CARE COMMITTERS HEALTH SERVICES INC,0,0,59,2.11,4.2,0,0,1.4,10.2,0,15.8,76,RICHMOND,99,71,40,,59,28,,0.1,23,15,1,3,32,27,26,,44,57,,,4,,49,6,747166,TX,301 SOUTH 9TH STREET SUITE 214,316,492572,,666286,725831,,15,77469
1,QUALITY CAREGIVERS HEALTH CARE INC,,,59,1.73,0,0.1,0.1,11.4,8.5,0,20,58,ROSENBERG,68,49,30,0,38,19,0,0,9,21,1,3,26,12,34,65,50,43,,56,3,,16,3,747534,TX,9410 GINGERSTONE CT,225,967238,,752321,776544,,,77469
1,ONCARE HOME HEALTH SERVICES INC,0,0,59,2.48,0,0,0.1,1.7,9.1,0,10.8,76,HOUSTON,88,65,39,,49,23,0,0,9,34,5,5,35,35,51,60,57,63,,57,6,,18,6,747696,TX,7100 REGENCY SQUARE BLVD SUITE 284,149,368021,,300213,306747,,,77036
1,RASHA HOME HEALTH SERVICES INC,0,,59,1.57,1.2,0,0,1.9,8.6,0,11.7,84,RICHMOND,108,75,55,,53,33,0,0.8,12,33,0,2,32,20,26,61,45,57,,71,5,,32,4,747704,TX,17914 SUNSHINE TRACE LANE,275,415210,,544013,557005,,17,77407
1,THREE ANGELS HOME HEALTH INC,0,0,59,1.52,0,0,0,7.2,9.1,0,16.3,245,HOUSTON,260,190,135,,125,70,,0,4,25,2,6,23,21,19,37,43,47,,45,2,,7,4,747757,TX,14721 BRANCHWEST DR,585,2053911,,1489608,1752002,,,77082
1,IC-SPRING HOME HEALTH INCORPORATED,,,59,1.44,0,0,0,4.8,8.7,0,13.5,66,HOUSTON,74,62,43,,31,12,0,0,11,41,1,8,22,28,23,38,62,26,,49,16,,14,4,747796,TX,14405 WALTERS ROAD SUITE 300,228,463953,,526152,585307,,,77014
1,VINA HEALTH CARE SERVICES INC,0,0,59,2.07,0,0,0.4,4.4,8.7,0.1,13.5,13,HOUSTON,13,,,0,,,0,0,8,23,0,8,38,54,31,38,62,62,,46,0,,8,8,747801,TX,8623 CAMBERBROOK DRIVE,30,84374,,71897,73463,,0,77089
1,MOTHER IS GOLD HOME HEALTH CARE INC,0,0,59,2.83,0.7,0,0,0,9.7,0,10.3,,ARLINGTON,11,,,,,,0,0,45,27,0,9,64,45,45,36,36,73,,45,9,64,9,9,747845,TX,818 HONTLEY DRIVE,38,52023,,71677,74015,,,76001
1,PREFERRED PLUS HOME HEALTHCARE INC,,,59,2.06,0,0,0,16.5,3.6,0,20.1,105,MIAMI LAKES,174,159,77,43,97,15,,3.4,14,18,3,5,19,24,46,,61,55,,37,6,,41,5,109426,FL,6625 MIAMI LAKES DR  STE 217,327,653913,0,1641576,1657116,0,23,33014
1,SOFT TOUCH HOME HEALTH CARE,,0,59,2.51,1,0,0,6.9,4.8,0,12.7,26,LIVONIA,28,17,11,0,17,11,0,0,11,50,4,4,50,18,64,50,68,61,,75,4,,11,7,239243,MI,"29200 VASSAR STREET, SUITE 535",31,77100,0,74604,80465,0,,48152
1,"TRINITY HOME HEALTH, LLC",0,0,59,2.33,17.8,0,0,2.5,10.7,0,31,12,COLUMBUS,12,,,0,,,0,4.7,17,8,0,25,17,42,17,50,42,42,75,33,8,25,8,0,368451,OH,"2242 SOUTH HAMILTON ROAD, SUITE 202",30,92594,0,74276,72934,0,0,43232
1,METRO HEALTH SERVICES,0,0,59,1.65,17.3,0.5,7,11.6,13,0.1,49.6,38,HOUSTON,42,31,24,,18,11,0,1.7,19,24,10,5,26,24,36,43,,45,,60,0,,19,17,677901,TX,9894 BISSONNET SUITE 365,90,669801,0,470727,472582,0,,77036
1,CIRCUIT WIDE HEALTHCARE  INC,0,0,59,1.92,0,0,0,10.8,8.9,0,19.7,47,SUGAR LAND,48,,20,0,28,,,0,10,29,2,2,31,21,27,40,33,27,,50,2,,4,6,679552,TX,9503 TOLKEN WAY,113,457001,0,380984,389284,0,,77478
1,DIVINE HANDS HEALTHCARE CORPORATION,0,0,59,1.43,0,0,0,8.2,9.1,0,17.2,12,CYPRESS,13,,,0,,,,0,0,23,0,0,15,8,23,69,69,38,,46,0,,23,8,747127,TX,19618 YAUPON RANCH DR,56,144900,0,165410,169014,0,,77433
1,E E CORNERSTONE HOME HEALTH INC,0,0,59,2.39,1.7,0.2,0.1,0.7,9.3,0.1,12.1,19,GRAND PRAIRIE,27,,12,,15,,0,0.7,26,30,0,7,59,30,63,52,52,52,,70,4,,22,7,747759,TX,203 LONGHORN TRAIL,66,108833,0,153504,157966,0,,75052
1,EDIHUMBLE HOME HEALTHCARE INC,0,0,59,1.97,0,0,0,0.3,9,0,9.3,19,HOUSTON,29,,,,,,0,0,41,17,0,3,14,24,14,72,48,38,,59,0,,72,0,747833,TX,12430 SOUTH GARDEN STREET,50,93796,0,84184,86012,0,,77071
1,TIPPLE ALLIANCE HOME HEALTH SERVICES INC,0,0,59,1.57,0.6,0,0,0.2,13.9,0,14.7,166,DALLAS,180,151,78,,102,29,,8.7,16,19,3,2,36,24,36,44,46,54,,38,2,,14,9,747477,TX,10729 AUDELIA ROAD SUITE 210,696,1511707,4531,1614882,1516715,11,11,75238
1,EMPATHY HEALTH CARE INC,0,0,59,2.07,1.1,0,0,6.5,8.7,0,16.2,61,HOUSTON,82,68,40,,42,14,,0,13,21,1,6,29,35,37,54,46,57,,48,5,,23,4,457850,TX,6776 SW FREEWAY STE 640,202,480413,5780,542357,557563,17,15,77074
1,ALL FAMILY HOME HEALTH CARE INC,0,0,59,1.81,0.7,0.5,0.2,11.6,5.2,0,18.1,40,TAMPA,163,103,95,31,68,60,0,0.2,10,17,6,7,14,28,33,53,36,53,74,33,8,,9,4,109795,FL,1703 N TAMPA ST STE 9,338,1421993,8687,1072557,1170745,21,92,33602
1,BAPTIST HOME CARE PROVIDERS INC,0,0,59,2.3,2.2,0,0,1.6,11.2,0,15,92,HOUSTON,120,92,64,15,56,28,0,6.3,14,24,5,4,33,29,37,48,52,53,,52,6,69,20,9,679562,TX,6250 WESTPARK DRIVE SUITE 111,354,741899,7231,800339,779941,26,13,77036
1,"GOLDEN SEAL HOME HEALTH, INC",,11,60,2.14,0.3,0,0,1.1,15.8,0,17.2,40,LOS ANGELES,153,141,59,35,94,12,,8,29,12,4,3,47,41,39,73,49,64,,56,7,40,,4,59257,CA,"1711 WEST TEMPLE STREET, SUITE 7607",266,846756,,902487,714006,,65,90026
1,"VIZION ONE,  INC",0,0,60,2.42,9.4,0,1,0.3,23.4,0,34.2,,WORCESTER,14,,,,,,0,7.9,21,43,14,0,36,36,36,71,64,64,,50,21,57,29,7,227528,MA,146 WEST BOYLSTON DRIVE SUITE 203,25,85400,,67806,57168,,,01606
1,QUALITY HOME HEALTH SERVICES,0,0,60,2.16,0,0,0,12.2,1.5,0,13.7,48,TAYLOR,58,42,31,0,27,16,,0,26,38,0,3,38,34,66,36,69,60,,74,14,,5,12,237519,MI,25408 GODDARD ROAD,63,172041,,194807,210165,,,48180
1,PROFESSIONAL HOME HEALTH SERVICES PROVIDER,,,60,2.12,0.3,0.1,0.2,8.6,5.4,0,14.3,248,FARMINGTON HILLS,291,210,142,,149,81,,0,18,32,3,7,37,33,67,46,67,67,,68,11,,15,11,239075,MI,"28124 ORCHARD LAKE RD, SUITE 110",573,1056886,,1497333,1642292,,30,48334
1,"SWHHC, INC",0,0,60,1.94,3.6,0,0,0,8,0,11.6,15,CINCINNATI,24,,,0,,,,0.2,4,29,4,8,17,29,46,63,46,54,,29,17,,4,17,368372,OH,5946 CHEVIOT ROAD,106,124722,,179914,190127,,,45247
1,HEALING HEARTS HOME HEALTH AGENCY OF ATASCOCITA,0,0,60,1.79,0,0,0,0.5,7.4,0,8,35,HUMBLE,40,,18,,22,,0,0.3,13,23,8,5,35,18,58,50,55,50,,48,13,75,15,8,453148,TX,6040 UPSHAW DR #102,157,203142,,277791,286170,,,77396
1,ST PATRICK HEALTH SERVICES INC,0,0,60,2.32,0.2,0.1,0.1,10.1,9.1,0,19.5,55,HOUSTON,56,39,24,0,32,17,,0,13,27,5,4,25,32,27,52,46,57,,45,0,59,25,7,679564,TX,4315 LOCKWOOD DR SUITE 10,255,928978,,844565,862960,,,77026
1,JUBILEE HEALTH CARE INC,0,0,60,2.27,1.1,0.2,0.1,4.8,8.4,0,14.7,25,HOUSTON,30,,16,,14,,0,0,17,17,17,0,57,33,20,67,40,63,,73,7,63,10,27,679787,TX,"7457 HARWIN DRIVE, #320",87,203215,,233068,242206,,,77057
1,PARADISE HOME HEALTH AGENCY,0,0,60,2.82,2,0,0,0.4,10,0,12.5,82,ARLINGTON,86,62,42,,44,24,0,0.6,24,36,3,5,52,38,57,45,59,57,,69,1,,12,7,747107,TX,222 FAIRCREST DRIVE,272,636693,,502048,523255,,,76018
1,"CONTACT CARE HEALTH SERVICES, INC.",0,,60,1.7,0.9,0.8,2.1,2.7,7.9,0,14.5,24,CYPRESS,53,29,20,,33,24,0,0,34,11,0,0,21,17,21,,43,45,,51,6,36,62,4,747226,TX,16520 STEINHAGEN ROAD,73,211899,,182974,186866,,22,77429
1,COUNTY HOME HEALTHCARE,0,0,60,3.39,1.2,0,0.2,2.7,8.1,0,12.2,17,HOUSTON,18,,,,,,,0,11,44,0,0,50,33,17,44,,,,,6,72,22,6,747400,TX,7322 SOUTHWEST FREEWAY SUITE 660,72,139346,,169063,172727,,0,77074
1,KOBY HOME HEALTH INC,0,0,60,2.09,0,0,0,8.5,9.2,0,17.7,60,HOUSTON,89,66,46,,43,23,,0.8,6,25,2,7,30,34,26,48,54,54,,56,2,,10,2,747681,TX,14203 BERRINGTON DRIVE,271,696460,,775966,813385,,19,77083
1,LATOM CARE GROUP FACILITIES,0,,60,1.24,0.1,0,0,3.3,8.9,0,12.3,99,SUGAR LAND,117,77,61,,56,40,0,0,9,22,1,2,25,19,15,39,30,51,,69,2,,10,4,747765,TX,12808 W AIRPORT BLVD #325F,255,427281,,572157,632087,,,77478
1,ANOINTED CARE SERVICES,0,,60,1.68,0.4,0,0.1,11.8,6.3,0,18.6,85,SOUTHFIELD,99,73,32,,67,26,,0,11,36,2,8,33,23,67,60,54,57,,58,5,,25,12,239127,MI,"15565 NORTHLAND DR, STE 604W",191,706302,0,656186,686512,0,,48075
1,CARE HOME HEALTH SERVICE,0,,60,1.75,0.1,0,0,12.1,2.6,0,14.8,87,REDFORD,95,63,40,0,55,32,0,0,14,44,2,6,35,24,66,33,52,58,,65,5,,19,7,239251,MI,"24634 5 MILE RD, SUITE 39",149,323582,0,517189,511113,0,,48239
